movieId,title,genres,clean_title,genres_features,avg_rating,rating_count
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il)",Comedy Drama Romance,4.027027027027027,37.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The",Adventure Children Fantasy,3.235294117647059,34.0
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,Drama Thriller,3.75,6.0
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,Drama,3.70625,80.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy Crime,2.7142857142857144,7.0
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,Comedy Romance,2.2,5.0
65,Bio-Dome (1996),Comedy,Bio-Dome,Comedy,2.532258064516129,31.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,Action Sci-Fi Thriller,2.5,9.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),Comedy Romance,3.4,5.0
69,Friday (1995),Comedy,Friday,Comedy,3.775,20.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,Action Comedy Horror Thriller,3.5090909090909093,55.0
71,Fair Game (1995),Action,Fair Game,Action,1.7,5.0
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,Comedy Drama,3.2142857142857144,7.0
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les",Drama War,3.4615384615384617,13.0
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,Drama Romance,4.0,8.0
75,Big Bully (1996),Comedy|Drama,Big Bully,Comedy Drama,2.2,5.0
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,Action Sci-Fi Thriller,3.4,15.0
77,Nico Icon (1995),Documentary,Nico Icon,Documentary,4.0,1.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing Guard, The",Action Crime Drama Thriller,3.3333333333333335,3.0
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",Drama Thriller,2.764705882352941,17.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The (Badkonake sefid)",Children Drama,4.0,2.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,Crime Drama Romance,3.107142857142857,14.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line (Antonia),Comedy Drama,3.875,8.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,Drama Romance,3.0,1.0
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,Drama Romance,3.857142857142857,7.0
86,White Squall (1996),Action|Adventure|Drama,White Squall,Action Adventure Drama,3.966666666666667,15.0
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,Children Comedy,2.5,7.0
88,Black Sheep (1996),Comedy,Black Sheep,Comedy,3.15625,16.0
89,Nick of Time (1995),Action|Thriller,Nick of Time,Action Thriller,3.25,10.0
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,Drama Horror Thriller,2.625,8.0
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,Comedy Horror Romance,2.8333333333333335,9.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,Comedy Drama Romance,3.95,10.0
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,Action Adventure Thriller,3.0238095238095237,84.0
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,Comedy Drama,3.5,1.0
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate (Haine, La)",Crime Drama,3.9,10.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,Documentary,5.0,2.0
100,City Hall (1996),Drama|Thriller,City Hall,Drama Thriller,2.7857142857142856,14.0
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,Adventure Comedy Crime Romance,3.782608695652174,23.0
102,Mr. Wrong (1996),Comedy,Mr. Wrong,Comedy,2.4,5.0
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,Mystery Sci-Fi Thriller,3.0,3.0
104,Happy Gilmore (1996),Comedy,Happy Gilmore,Comedy,3.4393939393939394,99.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The",Drama Romance,3.282608695652174,23.0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),Comedy Drama,4.0,1.0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,Adventure Children Comedy Musical,3.326923076923077,26.0
108,Catwalk (1996),Documentary,Catwalk,Documentary,4.0,1.0
110,Braveheart (1995),Action|Drama|War,Braveheart,Action Drama War,4.031645569620253,237.0
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,Crime Drama Thriller,4.105769230769231,104.0
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),Action Adventure Comedy Crime,3.5434782608695654,46.0
113,Before and After (1996),Drama|Mystery,Before and After,Drama Mystery,3.3333333333333335,3.0
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,Documentary,3.9,5.0
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young Poisoner's Handbook, The",Crime Drama,3.0,1.0
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,Comedy Romance,2.5,2.0
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little",Comedy,3.0,2.0
121,"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The",Drama,4.0,2.0
122,Boomerang (1992),Comedy|Romance,Boomerang,Comedy Romance,2.65625,16.0
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),Drama Mystery Romance,4.375,4.0
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,Comedy,3.5833333333333335,12.0
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"NeverEnding Story III, The",Adventure Children Fantasy,2.0,7.0
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,Documentary,3.0,1.0
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,Comedy Romance,2.0,1.0
132,Jade (1995),Thriller,Jade,Thriller,2.8333333333333335,6.0
135,Down Periscope (1996),Comedy,Down Periscope,Comedy,2.9516129032258065,31.0
137,Man of the Year (1995),Documentary,Man of the Year,Documentary,3.0,1.0
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,Drama Romance,3.5,16.0
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",Comedy,3.494186046511628,86.0
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The",Comedy,3.3333333333333335,12.0
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,Action Comedy Crime Drama Thriller,3.2450980392156863,51.0
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing Panda Adventure, The",Adventure Children,3.3333333333333335,3.0
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The",Drama,3.466666666666667,15.0
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An",Drama,5.0,1.0
149,Amateur (1994),Crime|Drama|Thriller,Amateur,Crime Drama Thriller,2.0,1.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,Adventure Drama IMAX,3.845771144278607,201.0
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,Action Drama Romance War,3.5454545454545454,44.0
152,"Addiction, The (1995)",Drama|Horror,"Addiction, The",Drama Horror,1.5,2.0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,Action Adventure Comedy Crime,2.9160583941605838,137.0
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour),Drama,3.875,12.0
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,Adventure Drama War,2.4166666666666665,6.0
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face,Comedy Drama,3.3333333333333335,3.0
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon,Comedy War,2.8636363636363638,11.0
158,Casper (1995),Adventure|Children,Casper,Adventure Children,2.806451612903226,62.0
159,Clockers (1995),Crime|Drama|Mystery,Clockers,Crime Drama Mystery,2.892857142857143,14.0
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,Action Adventure Mystery Sci-Fi,2.8771929824561404,57.0
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,Drama Thriller War,3.6359223300970873,103.0
162,Crumb (1994),Documentary,Crumb,Documentary,4.205882352941177,17.0
163,Desperado (1995),Action|Romance|Western,Desperado,Action Romance Western,3.5606060606060606,66.0
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,Crime Film-Noir Mystery Thriller,3.3214285714285716,14.0
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance,Action Crime Thriller,3.5555555555555554,144.0
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom Generation, The",Comedy Crime Drama,2.8333333333333335,3.0
168,First Knight (1995),Action|Drama|Romance,First Knight,Action Drama Romance,3.0833333333333335,54.0
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Free Willy 2: The Adventure Home,Adventure Children Drama,2.4,10.0
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers,Action Adventure Crime Thriller,3.2285714285714286,35.0
171,Jeffrey (1995),Comedy|Drama,Jeffrey,Comedy Drama,3.8333333333333335,6.0
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic,Action Sci-Fi Thriller,2.6792452830188678,53.0
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Judge Dredd,Action Crime Sci-Fi,2.6693548387096775,62.0
174,Jury Duty (1995),Comedy,Jury Duty,Comedy,2.7,10.0
175,Kids (1995),Drama,Kids,Drama,3.975,20.0
176,Living in Oblivion (1995),Comedy,Living in Oblivion,Comedy,4.3076923076923075,13.0
177,Lord of Illusions (1995),Horror,Lord of Illusions,Horror,2.75,8.0
178,Love & Human Remains (1993),Comedy|Drama,Love & Human Remains,Comedy Drama,1.0,1.0
179,Mad Love (1995),Drama|Romance,Mad Love,Drama Romance,1.5,2.0
180,Mallrats (1995),Comedy|Romance,Mallrats,Comedy Romance,3.4027777777777777,36.0
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Mighty Morphin Power Rangers: The Movie,Action Children,2.264705882352941,17.0
183,Mute Witness (1994),Comedy|Horror|Thriller,Mute Witness,Comedy Horror Thriller,3.5,2.0
184,Nadja (1994),Drama,Nadja,Drama,3.5,2.0
185,"Net, The (1995)",Action|Crime|Thriller,"Net, The",Action Crime Thriller,3.0401785714285716,112.0
186,Nine Months (1995),Comedy|Romance,Nine Months,Comedy Romance,2.8229166666666665,48.0
187,Party Girl (1995),Comedy,Party Girl,Comedy,4.125,4.0
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"Prophecy, The",Fantasy Horror Mystery,3.4583333333333335,12.0
189,Reckless (1995),Comedy|Fantasy,Reckless,Comedy Fantasy,3.0,1.0
190,Safe (1995),Thriller,Safe,Thriller,2.8,5.0
191,"Scarlet Letter, The (1995)",Drama|Romance,"Scarlet Letter, The",Drama Romance,2.4166666666666665,6.0
193,Showgirls (1995),Drama,Showgirls,Drama,2.4714285714285715,35.0
194,Smoke (1995),Comedy|Drama,Smoke,Comedy Drama,3.6666666666666665,18.0
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About,Comedy Drama Romance,3.1,10.0
196,Species (1995),Horror|Sci-Fi,Species,Horror Sci-Fi,2.6666666666666665,45.0
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days,Action Crime Drama Mystery Sci-Fi Thriller,3.25,28.0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama Musical Romance,4.125,4.0
201,Three Wishes (1995),Drama|Fantasy,Three Wishes,Drama Fantasy,3.0,1.0
202,Total Eclipse (1995),Drama|Romance,Total Eclipse,Drama Romance,3.0,1.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,3.4318181818181817,22.0
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory,Action,2.716666666666667,30.0
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes,Comedy Drama,3.1666666666666665,9.0
206,Unzipped (1995),Documentary,Unzipped,Documentary,3.0,2.0
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk in the Clouds, A",Drama Romance,3.4285714285714284,21.0
208,Waterworld (1995),Action|Adventure|Sci-Fi,Waterworld,Action Adventure Sci-Fi,2.9130434782608696,115.0
209,White Man's Burden (1995),Drama,White Man's Burden,Drama,3.1666666666666665,3.0
210,Wild Bill (1995),Western,Wild Bill,Western,3.0,4.0
211,"Browning Version, The (1994)",Drama,"Browning Version, The",Drama,3.5,2.0
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Bushwhacked,Adventure Comedy Crime Mystery,3.0,3.0
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt by the Sun (Utomlyonnye solntsem),Drama,3.8333333333333335,6.0
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Before the Rain (Pred dozhdot),Drama War,4.0,2.0
215,Before Sunrise (1995),Drama|Romance,Before Sunrise,Drama Romance,4.041666666666667,24.0
216,Billy Madison (1995),Comedy,Billy Madison,Comedy,3.326530612244898,49.0
217,"Babysitter, The (1995)",Drama|Thriller,"Babysitter, The",Drama Thriller,2.3333333333333335,6.0
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side,Comedy Drama,3.4285714285714284,14.0
219,"Cure, The (1995)",Drama,"Cure, The",Drama,3.0,1.0
220,Castle Freak (1995),Horror,Castle Freak,Horror,3.0,1.0
222,Circle of Friends (1995),Drama|Romance,Circle of Friends,Drama Romance,3.75,16.0
223,Clerks (1994),Comedy,Clerks,Comedy,3.855769230769231,104.0
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Don Juan DeMarco,Comedy Drama Romance,3.6125,40.0
225,Disclosure (1994),Drama|Thriller,Disclosure,Drama Thriller,3.5384615384615383,52.0
227,Drop Zone (1994),Action|Thriller,Drop Zone,Action Thriller,2.8636363636363638,22.0
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio,Comedy,2.3333333333333335,3.0
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden,Drama Thriller,3.4285714285714284,7.0
230,Dolores Claiborne (1995),Drama|Thriller,Dolores Claiborne,Drama Thriller,3.3958333333333335,24.0
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Dumb & Dumber (Dumb and Dumber),Adventure Comedy,3.0601503759398496,133.0
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Eat Drink Man Woman (Yin shi nan nu),Comedy Drama Romance,3.892857142857143,14.0
233,Exotica (1994),Drama,Exotica,Drama,3.5,12.0
234,Exit to Eden (1994),Comedy,Exit to Eden,Comedy,2.588235294117647,17.0
235,Ed Wood (1994),Comedy|Drama,Ed Wood,Comedy Drama,3.6785714285714284,70.0
236,French Kiss (1995),Action|Comedy|Romance,French Kiss,Action Comedy Romance,3.477777777777778,45.0
237,Forget Paris (1995),Comedy|Romance,Forget Paris,Comedy Romance,3.340909090909091,22.0
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Far From Home: The Adventures of Yellow Dog,Adventure Children,4.0,2.0
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,"Goofy Movie, A",Animation Children Comedy Romance,3.0,17.0
240,Hideaway (1995),Thriller,Hideaway,Thriller,2.375,4.0
241,Fluke (1995),Children|Drama,Fluke,Children Drama,4.0,1.0
242,Farinelli: il castrato (1994),Drama|Musical,Farinelli: il castrato,Drama Musical,3.6,5.0
243,Gordy (1995),Children|Comedy|Fantasy,Gordy,Children Comedy Fantasy,3.0,1.0
246,Hoop Dreams (1994),Documentary,Hoop Dreams,Documentary,4.293103448275862,29.0
247,Heavenly Creatures (1994),Crime|Drama,Heavenly Creatures,Crime Drama,3.9285714285714284,21.0
248,Houseguest (1994),Comedy,Houseguest,Comedy,3.176470588235294,17.0
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved,Drama Romance,3.7222222222222223,18.0
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Heavyweights (Heavy Weights),Children Comedy,2.5,6.0
251,"Hunted, The (1995)",Action,"Hunted, The",Action,3.0,3.0
252,I.Q. (1994),Comedy|Romance,I.Q.,Comedy Romance,3.453488372093023,43.0
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Interview with the Vampire: The Vampire Chronicles,Drama Horror,3.458715596330275,109.0
254,Jefferson in Paris (1995),Drama,Jefferson in Paris,Drama,3.0,1.0
255,"Jerky Boys, The (1995)",Comedy,"Jerky Boys, The",Comedy,2.0714285714285716,7.0
256,Junior (1994),Comedy|Sci-Fi,Junior,Comedy Sci-Fi,2.8285714285714287,35.0
257,Just Cause (1995),Mystery|Thriller,Just Cause,Mystery Thriller,3.5,14.0
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,"Kid in King Arthur's Court, A",Adventure Children Comedy Fantasy Romance,2.6,10.0
259,Kiss of Death (1995),Crime|Drama|Thriller,Kiss of Death,Crime Drama Thriller,3.2,5.0
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Star Wars: Episode IV - A New Hope,Action Adventure Sci-Fi,4.231075697211155,251.0
261,Little Women (1994),Drama,Little Women,Drama,3.880952380952381,42.0
262,"Little Princess, A (1995)",Children|Drama,"Little Princess, A",Children Drama,3.9047619047619047,21.0
263,Ladybird Ladybird (1994),Drama,Ladybird Ladybird,Drama,4.0,1.0
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Like Water for Chocolate (Como agua para chocolate),Drama Fantasy Romance,3.9393939393939394,33.0
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall,Drama Romance War Western,3.3970588235294117,68.0
267,Major Payne (1995),Comedy,Major Payne,Comedy,2.9411764705882355,17.0
269,My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life (Mi vida loca),Drama,3.0,2.0
270,Love Affair (1994),Drama|Romance,Love Affair,Drama Romance,3.4,5.0
271,Losing Isaiah (1995),Drama,Losing Isaiah,Drama,3.5,4.0
272,"Madness of King George, The (1994)",Comedy|Drama,"Madness of King George, The",Comedy Drama,3.7580645161290325,31.0
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Mary Shelley's Frankenstein (Frankenstein),Drama Horror Sci-Fi,2.9464285714285716,28.0
274,Man of the House (1995),Comedy,Man of the House,Comedy,2.9285714285714284,7.0
275,Mixed Nuts (1994),Comedy,Mixed Nuts,Comedy,2.0,6.0
276,Milk Money (1994),Comedy|Romance,Milk Money,Comedy Romance,3.25,22.0
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street,Drama,3.223684210526316,38.0
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody,Comedy,1.5,2.0
279,My Family (1995),Drama,My Family,Drama,3.0,2.0
280,Murder in the First (1995),Drama|Thriller,Murder in the First,Drama Thriller,4.076923076923077,13.0
281,Nobody's Fool (1994),Comedy|Drama|Romance,Nobody's Fool,Comedy Drama Romance,3.7857142857142856,14.0
282,Nell (1994),Drama,Nell,Drama,3.3375,40.0
283,New Jersey Drive (1995),Crime|Drama,New Jersey Drive,Crime Drama,3.6666666666666665,3.0
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,New York Cop (Nyû Yôku no koppu),Action Crime,4.5,1.0
285,Beyond Bedlam (1993),Drama|Horror,Beyond Bedlam,Drama Horror,4.0,1.0
287,Nina Takes a Lover (1994),Comedy|Romance,Nina Takes a Lover,Comedy Romance,3.0,1.0
288,Natural Born Killers (1994),Action|Crime|Thriller,Natural Born Killers,Action Crime Thriller,3.233695652173913,92.0
289,Only You (1994),Comedy|Romance,Only You,Comedy Romance,3.5625,8.0
290,Once Were Warriors (1994),Crime|Drama,Once Were Warriors,Crime Drama,4.035714285714286,14.0
291,Poison Ivy II (1996),Drama|Thriller,Poison Ivy II,Drama Thriller,2.3333333333333335,3.0
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Outbreak,Action Drama Sci-Fi Thriller,3.4257425742574257,101.0
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Léon: The Professional (a.k.a. The Professional) (Léon),Action Crime Drama Thriller,4.018796992481203,133.0
294,"Perez Family, The (1995)",Comedy|Romance,"Perez Family, The",Comedy Romance,3.0,2.0
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,"Pyromaniac's Love Story, A",Comedy Romance,3.0,1.0
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Pulp Fiction,Comedy Crime Drama Thriller,4.197068403908795,307.0
298,Pushing Hands (Tui shou) (1992),Drama,Pushing Hands (Tui shou),Drama,2.0,1.0
299,Priest (1994),Drama,Priest,Drama,4.0,4.0
300,Quiz Show (1994),Drama,Quiz Show,Drama,3.5185185185185186,81.0
301,Picture Bride (Bijo photo) (1994),Drama|Romance,Picture Bride (Bijo photo),Drama Romance,4.0,1.0
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,"Queen Margot (Reine Margot, La)",Drama Romance,3.2,5.0
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,"Quick and the Dead, The",Action Thriller Western,2.953125,32.0
